model,cv_auc,cv_f1,cv_recall,test_auc,test_f1,test_recall,test_precision,test_specificity,test_accuracy
Logistic Regression,0.6312760605945791,0.24930052636913597,0.5178428327806438,0.6271403027198829,0.24872665534804753,0.5178965974370305,0.16366429269655075,0.6598318754969896,0.6436660123810962
Random Forest,0.6269657026406479,0.18776160031275957,0.14528751552056035,0.6155971664141131,0.18435277382645804,0.14317277949624393,0.25878594249201275,0.9472906963535158,0.8557048668780513
XGBoost,0.6249268587327048,0.24490067256157885,0.6002641317180765,0.6183462367632776,0.23791170287316046,0.6000883782589483,0.14836665574128702,0.55725320913325,0.5621319643666013
LightGBM,0.6326215320103064,0.028289779675197323,0.014583865938967207,0.6275707991124425,0.015611448395490026,0.007954043305346884,0.4186046511627907,0.9985800295353857,0.8857516734611707
LightGBM (Tuned),0.6377063477521395,,,0.6330630917662596,0.026816608996539794,0.0136986301369863,0.6326530612244898,0.9989776212654777,0.8867582666465348
